От кого ушел Колобок; от бабушки
Самый зубастый столовый прибор; вилка
Самый Южный материк; антарктида
Самая большая волна; цунами
Самый большой милиционер; степа 
Самый большой кусок льда;  айсберг
Самый добрый доктор; айболит
Самый звездатый флаг; сша
Самый звонкий цветок; колокольчик
Самая музыкальная птица; соловей
Самый правдивый барон на свете; мюнхаузен
Самая фруктовая сказка; чипполино
Самое древнее лекарство; касторка
Крылатая фраза Шерлока Холмса; элементарно
Самый походный музыкальный инструмент; гитара 
Самая американская статуя; свобода
Свадебный марш; мендельсона
Самый лучший в мире крокодил; гена
Самый небесный цвет; голубой
Самая плавательная обувь; ласты
